blank,session,date,filename,unit,topic,long-topic,concepts,title,pad-slug,image,zotero-tag,zotero-readings,objective,tags,contents
,1,14.10,2024-10-14-1.md,Religion als Gegenstand,Vorstellung,Was machen wir hier?,,1. Religion als Gegenstand: Was machen wir hier?,1,candle.jpg,1-Vorstellung,,,[1],"---
layout: post
session: 1
tags: [1]
level: overview
---"
,2,21.10,2024-10-21-2.md,Religion als Gegenstand,Definitionen,Was ist Religion?,,2. Religion als Gegenstand: Was ist Religion?,2,magnifying-glass.jpg,2-Definitionen,"[stausbergReligionBegriffDefinitionen2012a, wenzelDefinitionenReligion2023a]",,[2],"---
layout: post
session: 2
tags: [2]
level: overview
---"
,3,28.10,2024-10-28-3.md,Religion als Gegenstand,Ritual,Was gilt als religiöses Ritual?,,3. Religion als Gegenstand: Was gilt als religiöses Ritual?,3,02_Fussball.jpg,3-Ritual,"[brombergerFussballAlsWeltsicht2003a, langerTherapeutischreligioseRitualperformanzenIm2015a]",,[3],"---
layout: post
session: 3
tags: [3]
level: overview
---"
,4,04.11,2024-11-04-4.md,Gruppen und Autorität,Gruppen,Wie bilden sich religiöse Gruppen und Autoritäten?,,4. Gruppen und Autorität: Wie bilden sich religiöse Gruppen und Autoritäten?,4,kaaba.jpg,4-Gruppen,[rengerIIIMeisterJuengerUnd2012],,[4],"---
layout: post
session: 4
tags: [4]
level: overview
---"
,5,11.11,2024-11-11-5.md,Gruppen und Autorität,Gender,Welche Rolle spielt Gender in der Religion?,,5. Gruppen und Autorität: Welche Rolle spielt Gender in der Religion?,5,04.MarabouWomen.jpg,5-Gender,"[frankeReligionenReligionswissenschaftUnd2012a, gemmekeMaraboutWomenDakar2009a]",,[5],"---
layout: post
session: 5
tags: [5]
level: overview
---"
,6,18.11,2024-11-18-6.md,Gruppen und Autorität,Orthodoxie,Wer oder was bestimmt die Orthodoxie?,,6. Gruppen und Autorität: Wer oder was bestimmt die Orthodoxie?,6,yezidi.jpg,6-Orthodoxie,"[bernerSynkretismus2001a, langerYezidismScholarlyLiterature2010]",,[6],"---
layout: post
session: 6
tags: [6]
level: overview
---"
,7,25.11,2024-11-25-7.md,Materialität und Körper,Kunst,Kursbesuch: Kunst,,7. Materialität und Körper: Kursbesuch: Kunst,7,06_gegenseitiges.anerkennen.shahid.alam.png.webp,7-Kunst,,,[7],"---
layout: post
session: 7
tags: [7]
level: overview
---"
,8,02.12,2024-12-02-8.md,Materialität und Körper,Schriften,Wie werden heilige Schriften überliefert?,,8. Materialität und Körper: Wie werden heilige Schriften überliefert?,8,synagogue-scroll.jpg,8-Schriften,[pelikanWrittenTorahTalmud2006],,[8],"---
layout: post
session: 8
tags: [8]
level: overview
---"
,9,09.12,2024-12-09-9.md,Materialität und Körper,Objekte,Welche Rolle spielen materielle Objekte in der Religion?,,9. Materialität und Körper: Welche Rolle spielen materielle Objekte in der Religion?,9,08_materialeReligion.jpg,9-Objekte,[prohlMaterialeReligion2012a],,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---"
,10,16.12,2024-12-16-10.md,Materialität und Körper,Orte,Welche Rolle spielen heilige Orte in der Religion?,,10. Materialität und Körper: Welche Rolle spielen heilige Orte in der Religion?,10,madaba-map.jpg,10-Orte,"[hess12SacredSpaces2018a, walker11Pilgrimage2018a]",,[10],"---
layout: post
session: 10
tags: [10]
level: overview
---"
,11,13.01,2025-01-13-11.md,Materialität und Körper,Körper,Welche Wirkung hat die religiöse Praxis auf den Körper?,,11. Materialität und Körper: Welche Wirkung hat die religiöse Praxis auf den Körper?,11,03_heilung_cr.jpg,11-Körper,"[csordasIntroduction1994a, zinserOrakelUndOffenbarung2010a]",,[11],"---
layout: post
session: 11
tags: [11]
level: overview
---"
,12,20.01,2025-01-20-12.md,Religionswissenschaft für heute,Digitalisierung,Wie wird Religion digital untersucht?,,12. Religionswissenschaft für heute: Wie wird Religion digital untersucht?,12,digital.jpg,12-Digitalisierung,"[campbellContextualizingCurrentDigital2020, mattesYouBeOnYoungBelievers2022]",,[12],"---
layout: post
session: 12
tags: [12]
level: overview
---"
,13,27.01,2025-01-27-13.md,Religionswissenschaft für heute,Extremismus,Wie sollte religiöser Extremismus verstanden werden?,,13. Religionswissenschaft für heute: Wie sollte religiöser Extremismus verstanden werden?,13,12_iranischeSchiiten.jpeg,13-Extremismus,[riesebrodtFundamentalismusAlsPatriarchalische1990],,[13],"---
layout: post
session: 13
tags: [13]
level: overview
---"
,14,03.02,2025-02-03-14.md,Religionswissenschaft für heute,Interreligiös,Sollten Religionswissenschaftler/innen am interreligiösen Dialog mitwirken?,,14. Religionswissenschaft für heute: Sollten Religionswissenschaftler/innen am interreligiösen Dialog mitwirken?,14,interreligious-conversation.png,14-Interreligiös,[schmiedelInterreligioeserDialogAls2008],,[14],"---
layout: post
session: 14
tags: [14]
level: overview
---"
,15,10.02,2025-02-10-15.md,Religionswissenschaft für heute,Abschluss,Wie gehe ich mit dem erworbenen Wissen um?,,15. Religionswissenschaft für heute: Wie gehe ich mit dem erworbenen Wissen um?,15,girl-bridge.jpg,15-Abschluss,,,[15],"---
layout: post
session: 15
tags: [15]
level: overview
---"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
